[0630/112618.055:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0725/105428.408:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105433.415:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105438.428:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105443.438:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105448.454:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105453.465:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105458.478:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105503.488:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105508.505:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105513.523:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105518.534:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105523.557:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105528.570:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/105533.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0725/142505.833:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
